year,lead
1693.16,110.71432
1691.50,137.36436
1688.81,199.89364
1685.77,184.69997
1684.06,240.40839
1681.94,438.68232
1677.15,68.40973
1674.60,336.1947
1673.25,124.93877
1671.40,47.78216
1669.63,83.93779
1668.10,37.34518
1664.11,48.39523
1662.93,63.71846
1661.46,131.85623
1660.23,43.06651
1657.60,121.1718
1656.34,170.74238
1655.48,77.22104
1653.79,122.5322
1649.54,147.61088
1646.62,3142.89172
1644.49,124.5459
1642.15,43.92223
1638.57,29.31376
1636.24,33.21923
1634.14,203.03563
1630.94,162.37903
1627.96,132.81639
1625.85,93.5889
1619.03,28.82143
1616.65,107.81784
1613.51,162.96395
1608.98,148.06142
1606.95,143.21798
1603.82,62.60536
1601.25,63.79756
1598.81,64.18653
1595.91,1035.28521
1593.98,31.42614
1590.70,39.30531
1588.56,62.72233
1586.09,73.41867
1582.25,77.61284
1579.96,37.67146
1577.92,61.13485
1575.39,28.89441
1573.28,23.18495
1570.47,82.68247
1568.42,575.43323
1566.73,43.68027
1562.69,92.99602
1560.43,236.33233
1559.35,135.57884
1556.64,120.78395
1554.62,59.99646
1553.25,61.67343
1549.86,51.90798
1548.16,48.55399
1545.88,27.78905
1543.81,27.26539
1542.08,44.30231
1540.48,67.8067
1538.64,30.27156
1536.03,29.2964
1533.43,182.31209
1531.57,108.2039
1529.96,96.63277
1528.39,199.98165
1525.76,81.98212
1524.38,148.6143
1522.80,73.97413
1521.23,43.12045
1518.85,53.091
1516.57,165.19313
1514.69,50.88259
1512.40,112.38425
1510.30,108.15858
1508.38,118.92388
1505.77,39.54926
1503.88,205.51558
1501.93,91.54023
1500.16,133.31734
1498.07,36.02776
1496.48,429.01311
1495.08,219.14217
1492.69,71.68858
1490.28,35.18433
1488.53,34.00589
1487.12,127.68543
1484.88,132.38115
1482.53,48.32969
1481.04,39.50066
1479.71,55.71628
1478.67,55.41879
1474.54,27.91057
1471.76,117.06059
1468.59,3.10401
1465.43,2.93453
1461.95,4.18754
1458.78,44.82734
1456.05,3.36387
1453.78,57.262
1450.78,5.74683
1448.48,45.98237
1445.97,26.31147
1443.29,32.98282
1440.83,415.25421
1438.66,162.42243
1436.78,78.36608
1434.32,162.9411
1431.36,59.93599
1429.11,62.61161
1426.57,704.52922
1425.22,30.56171
1423.01,110.8234
1421.45,43.48249
1419.81,28.89707
1417.28,26.2718
1415.87,28.18986
1414.72,113.6927
1411.26,575.60999
1408.98,56.10054
1407.23,81.66017
1404.30,94.34646
1401.60,20.55997
1398.93,85.95421
1395.25,31.31651
1391.94,148.9293
1389.86,135.79108
1387.35,50.0802
1385.37,15.12556
1382.99,14.36337
1381.63,15.96894
1378.71,13.8491
1376.88,39.36401
1374.72,77.33583
1371.53,4.05106
1368.13,0.87163
1366.93,2.47956
1364.31,3.21917
1362.20,4.61644
1358.92,2.09658
1357.49,2.73022
1355.81,0.65244
1352.85,0.42595
1350.16,2.26088
1348.60,79.19577
1347.31,39.50593
1346.14,29.64455
1343.45,95.5476
1340.32,15.26577
1337.70,441.49405
1335.74,314.30831
1327.85,48.08829
1325.05,33.2808
1323.28,205.37152
1320.76,130.19793
1318.57,111.78289
1315.39,113.8997
1312.91,49.12031
1310.78,53.42239
1308.56,185.53528
1305.56,78.95027
1302.43,58.63766
1299.46,76.10376
1295.59,63.32874
1292.64,70.15071
1288.77,116.4658
1286.17,85.22173
1283.37,479.66813
1281.72,304.21109
1279.63,68.29576
1277.18,50.9925
1273.84,181.03235
1270.58,55.43362
1267.95,68.55679
1264.36,74.87308
1261.32,40.91024
1257.75,38.50926
1255.08,20.14711
1252.85,18.97375
1250.36,21.70791
1248.02,26.77012
1244.42,49.17201
1242.51,198.73764
1240.24,145.04263
1236.90,110.15797
1232.88,89.08429
1229.29,92.83984
1225.70,283.81061
1223.05,588.69367
1220.11,424.07397
1216.88,324.35427
1212.96,96.36643
1210.45,129.89605
1207.76,528.6462
1204.79,176.13298
1201.09,96.21335
1197.95,56.10161
1194.42,798.62598
1190.57,92.30155
1187.55,3084.99594
1185.07,44.06842
1183.12,259.18635
1180.87,108.96213
1177.96,1130.78543
1173.08,285.04742
1169.43,51.42467
1165.07,47.10933
1159.95,77.71548
1153.19,129.43004
1149.00,529.56888
1144.68,206.17805
1139.57,105.80598
1134.81,122.49447
1128.26,261.61906
1122.99,277.67734
1120.58,54.07984
1115.33,88.65912
1110.90,135.50359
1106.65,55.41213
1102.85,280.1512
1098.59,154.56955
1095.66,138.81479
1091.83,70.78623
1086.67,52.64475
1080.61,39.97588
1075.51,52.08831
1069.40,73.17796
1063.16,146.688
1058.92,59.74
1055.30,77.33204
1050.30,122.75588
1044.75,123.51891
1039.99,93.29885
1035.74,96.10559
1029.83,98.83411
1025.24,197.23254
1022.67,271.49482
1017.83,78.75186
1010.11,418.68207
1001.64,339.54971
995.73,1251.78537
989.17,147.35312
980.19,230.7085
973.90,153.82628
969.99,74.54841
962.90,80.26327
954.65,169.64732
947.22,84.79915
942.25,53.86139
936.25,146.29509
931.04,485.31127
925.40,144.3154
920.08,204.79693
914.56,493.13361
908.06,91.71844
903.50,44.193
897.24,55.50117
891.87,48.98878
885.25,75.92744
882.01,262.20665
880.14,329.41588
876.07,47.30698
871.82,27.06178
866.32,25.46935
861.96,29.03649
855.89,187.9137
851.14,44.73063
844.94,65.72588
839.56,85.51124
832.46,275.29867
825.99,317.50663
822.23,61.6382
817.59,46.07731
812.57,87.33615
807.08,828.83859
788.47,176.58359
783.86,49.77179
780.34,63.24346
776.31,99.4142
772.25,304.5785
768.02,148.2955
764.53,141.57601
761.11,119.92894
757.24,51.74076
753.51,187.26802
750.09,41.79423
745.40,80.08575
739.85,45.16902
737.08,122.13609
731.58,151.01102
727.01,75.72057
721.94,83.6458
719.20,45.9432
714.97,74.59052
709.98,363.62677
707.43,499.03028
699.25,52.25582
691.42,155.99523
683.84,370.31154
680.16,84.41312
674.72,266.35973
668.70,337.94777
661.61,852.04095
653.44,503.47803
646.92,140.89322
639.45,1442.72924
633.18,272.27382
627.25,282.7541
621.07,233.8389
615.73,98.89011
609.62,85.16927
605.01,82.0397
599.43,108.59214
509.09,50.8027
502.65,150.4339
496.78,140.71697
490.67,292.99222
485.26,325.07367
478.94,171.43347
472.72,77.65772
464.98,79.2298
459.89,124.75862
451.67,142.25906
445.52,999.05472
438.06,77.13332
431.31,38.3414
423.32,60.26668
416.36,87.1705
410.43,226.55328
406.13,103.06616
398.26,91.216
390.84,108.748
384.06,130.86901
375.92,71.34905
369.19,30.26372
362.43,14.45975
357.33,56.4308
352.36,72.82568
346.90,157.41374
341.55,27.18557
336.31,83.22418
330.51,75.54435
325.39,84.88097
319.79,22.36467
313.36,20.21896
307.57,20.87286
301.15,12.63133
296.13,10.60694
292.29,26.54544
287.44,110.51849
282.49,55.018
277.94,106.88422
273.03,124.90028
268.04,123.15611
264.37,31.47385
261.00,33.8659
259.03,147.15237
255.57,242.24011
250.32,117.96654
244.96,92.9043
240.97,86.69369
236.22,92.16096
231.94,277.87202
226.72,339.08433
219.87,51.29835
211.43,83.11927
207.74,82.05044
202.54,77.78781
197.82,22.79668
191.28,52.5396
186.53,40.14835
182.90,64.44182
178.76,122.63935
172.71,119.6258
167.46,99.31041
161.98,193.12517
158.46,48.56042
155.27,220.2613
150.50,78.33054
143.70,143.65836
140.16,147.55942
137.19,117.85196
133.83,78.58892
131.25,103.26956
127.29,39.02906
122.06,67.44441
114.67,822.61365
105.25,461.70338
99.24,217.9926
93.12,2256.58886
85.31,295.95722
77.79,50.60991
70.72,55.53959
62.45,166.2605
54.69,1404.98772
37.75,32.52691
31.63,43.75824
25.50,48.75723
20.13,16.21301
16.55,173.07496
11.58,11.49788
6.31,40.98697
